	samples_names_common	Sample_names	Projet
samp_1_S1	samp_1_S1	1_S1	Camila
samp_10_S10	samp_10_S10	10_S10	Camila
samp_11_S11	samp_11_S11	11_S11	Camila
samp_12_S12	samp_12_S12	12_S12	Camila
samp_13_S13	samp_13_S13	13_S13	Camila
samp_14_S14	samp_14_S14	14_S14	Camila
samp_15_S15	samp_15_S15	15_S15	Camila
samp_16_S16	samp_16_S16	16_S16	Camila
samp_17_S17	samp_17_S17	17_S17	Camila
samp_18_S18	samp_18_S18	18_S18	Camila
samp_19_S19	samp_19_S19	19_S19	Camila
samp_2_S2	samp_2_S2	2_S2	Camila
samp_20_S20	samp_20_S20	20_S20	Camila
samp_21_S21	samp_21_S21	21_S21	Camila
samp_22_S22	samp_22_S22	22_S22	Camila
samp_23_S23	samp_23_S23	23_S23	Camila
samp_24_S24	samp_24_S24	24_S24	Camila
samp_25_S25	samp_25_S25	25_S25	Camila
samp_26_S26	samp_26_S26	26_S26	Camila
samp_27_S27	samp_27_S27	27_S27	Camila
samp_28_S28	samp_28_S28	28_S28	Camila
samp_29_S29	samp_29_S29	29_S29	Camila
samp_3_S3	samp_3_S3	3_S3	Camila
samp_30_S30	samp_30_S30	30_S30	Camila
samp_31_S31	samp_31_S31	31_S31	Camila
samp_32_S32	samp_32_S32	32_S32	Camila
samp_33_S33	samp_33_S33	33_S33	Camila
samp_34_S34	samp_34_S34	34_S34	Camila
samp_35_S35	samp_35_S35	35_S35	Camila
samp_4_S4	samp_4_S4	4_S4	Camila
samp_41_S38	samp_41_S38	41_S38	Camila
samp_42_S39	samp_42_S39	42_S39	Camila
samp_43_S40	samp_43_S40	43_S40	Camila
samp_44_S41	samp_44_S41	44_S41	Camila
samp_45_S42	samp_45_S42	45_S42	Camila
samp_46_S43	samp_46_S43	46_S43	Camila
samp_47_S44	samp_47_S44	47_S44	Camila
samp_48_S45	samp_48_S45	48_S45	Camila
samp_49_S46	samp_49_S46	49_S46	Camila
samp_5_S5	samp_5_S5	5_S5	Camila
samp_50_S47	samp_50_S47	50_S47	Camila
samp_51_S48	samp_51_S48	51_S48	Camila
samp_52_S49	samp_52_S49	52_S49	Camila
samp_53_S50	samp_53_S50	53_S50	Camila
samp_54_S51	samp_54_S51	54_S51	Camila
samp_55_S52	samp_55_S52	55_S52	Camila
samp_56_S53	samp_56_S53	56_S53	Camila
samp_57_S54	samp_57_S54	57_S54	Camila
samp_58_S55	samp_58_S55	58_S55	Camila
samp_59_S56	samp_59_S56	59_S56	Camila
samp_6_S6	samp_6_S6	6_S6	Camila
samp_60_S57	samp_60_S57	60_S57	Camila
samp_61_S58	samp_61_S58	61_S58	Camila
samp_62_S59	samp_62_S59	62_S59	Camila
samp_63_S60	samp_63_S60	63_S60	Camila
samp_64_S61	samp_64_S61	64_S61	Camila
samp_65_S62	samp_65_S62	65_S62	Camila
samp_66_S63	samp_66_S63	66_S63	Camila
samp_67_S64	samp_67_S64	67_S64	Camila
samp_69_S66	samp_69_S66	69_S66	Camila
samp_7_S7	samp_7_S7	7_S7	Camila
samp_70_S67	samp_70_S67	70_S67	Camila
samp_71_S68	samp_71_S68	71_S68	Camila
samp_72_S69	samp_72_S69	72_S69	Camila
samp_73_S70	samp_73_S70	73_S70	Camila
samp_74_S71	samp_74_S71	74_S71	Camila
samp_75_S72	samp_75_S72	75_S72	Camila
samp_8_S8	samp_8_S8	8_S8	Camila
samp_9_S9	samp_9_S9	9_S9	Camila
