Taxa_1	Taxa_2	Taxa_3	Taxa_6	Taxa_7	Taxa_8	Taxa_11	Taxa_12	Taxa_22	Taxa_27	Taxa_35	Taxa_36	Taxa_41	Taxa_46	Taxa_50	Taxa_53	Taxa_54	Taxa_61	Taxa_62	Taxa_67	Taxa_68	Taxa_80	Taxa_82	Taxa_85	Taxa_95	Taxa_128	Taxa_129	Taxa_136	Taxa_144	Taxa_149	Taxa_158	Taxa_173	Taxa_175	Taxa_186	Taxa_190	Taxa_205	Taxa_207	Taxa_212	Taxa_240	Taxa_252	Taxa_254	Taxa_259	Taxa_273	Taxa_308	Taxa_315	Taxa_319	Taxa_321	Taxa_323	Taxa_328	Taxa_336	Taxa_343	Taxa_349	Taxa_350	Taxa_356	Taxa_357	Taxa_369	Taxa_398	Taxa_403	Taxa_407	Taxa_420	Taxa_425	Taxa_444	Taxa_451	Taxa_544	Taxa_559	Taxa_563	Taxa_566	Taxa_570	Taxa_573	Taxa_583	Taxa_596	Taxa_630	Taxa_631	Taxa_648	Taxa_663	Taxa_677	Taxa_679	Taxa_694	Taxa_705	Taxa_711	Taxa_740	Taxa_765	Taxa_766	Taxa_769	Taxa_775	Taxa_787	Taxa_798	Taxa_809	Taxa_821	Taxa_832	Taxa_834	Taxa_836	Taxa_856	Taxa_874	Taxa_914	Taxa_959	Taxa_967	Taxa_1020	Taxa_1097	Taxa_1130	Taxa_1140	Taxa_1146	Taxa_1247	Taxa_1260	Taxa_1264	Taxa_1300	Taxa_1347	Taxa_1400	Taxa_1405	Taxa_1429	Taxa_1430	Taxa_1456	Taxa_1485	Taxa_1503	Taxa_1518	Taxa_1522	Taxa_1543	Taxa_1544	Taxa_1553	Taxa_1558	Taxa_1581	Taxa_1592	Taxa_1664	Taxa_1728	Taxa_1745	Taxa_1768	Taxa_1815	Taxa_1829	Taxa_1876	Taxa_1917	Taxa_1958	Taxa_1995	Taxa_2034	Taxa_2076	Taxa_2140	Taxa_2180	Taxa_2183	Taxa_2203	Taxa_2251	Taxa_2265	Taxa_2267	Taxa_2287	Taxa_2306	Taxa_2313	Taxa_2326	Taxa_2339	Taxa_2340	Taxa_2377	Taxa_2432	Taxa_2485	Taxa_2488	Taxa_2524	Taxa_2624	Taxa_2682	Taxa_2697	Taxa_2725	Taxa_2762	Taxa_2763	Taxa_2771	Taxa_2795	Taxa_2798	Taxa_2827	Taxa_2925	Taxa_2937	Taxa_2951	Taxa_2954	Taxa_2959	Taxa_2971	Taxa_2977	Taxa_3124	Taxa_3158	Taxa_3168	Taxa_3169	Taxa_3202	Taxa_3213	Taxa_3402	Taxa_3428	Taxa_3457	Taxa_3494	Taxa_3527	Taxa_3579	Taxa_3622	Taxa_3653	Taxa_3660	Taxa_3663	Taxa_3672	Taxa_3698	Taxa_3736	Taxa_3794	Taxa_4062	Taxa_4063	Taxa_4076	Taxa_4102	Taxa_4115	Taxa_4119	Taxa_4185	Taxa_4225	Taxa_4264	Taxa_4265	Taxa_4355	Taxa_4371	Taxa_4420	Taxa_4432	Taxa_4511	Taxa_4614	Taxa_4653	Taxa_4697	Taxa_4825	Taxa_4866	Taxa_4902	Taxa_4951	Taxa_5053	Taxa_5056	Taxa_5069	Taxa_5148	Taxa_5201	Taxa_5306	Taxa_5404	Taxa_5443	Taxa_5502	Taxa_5621	Taxa_5721	Taxa_5760	Taxa_5783	Taxa_5811	Taxa_5837	Taxa_5868	Taxa_5896	Taxa_5953	Taxa_5998	Taxa_6047	Taxa_6136	Taxa_6165	Taxa_6222	Taxa_6253	Taxa_6364	Taxa_6395	Taxa_6536	Taxa_6612	Taxa_6725	Taxa_6781	Taxa_6854	Taxa_6882	Taxa_6917	Taxa_6979	Taxa_7000	Taxa_7033	Taxa_7066	Taxa_7103	Taxa_7276	Taxa_7311	Taxa_7351	Taxa_7355	Taxa_7356	Taxa_7442	Taxa_7524	Taxa_7630	Taxa_7680	Taxa_7772	Taxa_7808	Taxa_7856	Taxa_7944	Taxa_8002	Taxa_8003	Taxa_8005	Taxa_8007	Taxa_8449	Taxa_8490	Taxa_8547	Taxa_8549	Taxa_8551	Taxa_8650	Taxa_8704	Taxa_8708	Taxa_8777	Taxa_8780	Taxa_8919	Taxa_8921	Taxa_8923	Taxa_9044	Taxa_9182	Taxa_9250	Taxa_9251	Taxa_9326	Taxa_9328	Taxa_9334	Taxa_9413	Taxa_9420	Taxa_9490	Taxa_9492	Taxa_9495	Taxa_9527	Taxa_9579	Taxa_9580	Taxa_9671	Taxa_9672	Taxa_9746	Taxa_9825	Taxa_9907	Taxa_9908	Taxa_9994	Taxa_9996	Taxa_10191	Taxa_10193	Taxa_10285	Taxa_10477	Taxa_10479	Taxa_10481	Taxa_10551	Taxa_10582	Taxa_10587	Taxa_10694	Taxa_10695	Taxa_10698	Taxa_10793	Taxa_10794	Taxa_10894	Taxa_10949	Taxa_11010	Taxa_11131	Taxa_11137	Taxa_11273	Taxa_11277	Taxa_11280	Taxa_11409	Taxa_11410	Taxa_11539	Taxa_11540	Taxa_11542	Taxa_11679	Taxa_11682	Taxa_11685	Taxa_11686	Taxa_11689	Taxa_11841	Taxa_11842	Taxa_11909	Taxa_11984	Taxa_11992	Taxa_12332	Taxa_12333	Taxa_12338	Taxa_12543	Taxa_12738	Taxa_12740	Taxa_12742	Taxa_12744	Taxa_12945	Taxa_12946	Taxa_12947	Taxa_12950	Taxa_12957	Taxa_13165	Taxa_13166	Taxa_13168	Taxa_13169	Taxa_13400	Taxa_13402	Taxa_13404	Taxa_13408	Taxa_13409	Taxa_13638	Taxa_13639	Taxa_13899	Taxa_13902	Taxa_14168	Taxa_14169	Taxa_14174	Taxa_14177	Taxa_14455	Taxa_14456	Taxa_14458	Taxa_14459	Taxa_14463	Taxa_14475	Taxa_14754	Taxa_14761	Taxa_14763	Taxa_14764	Taxa_14768	Taxa_15051	Taxa_15056	Taxa_15058	Taxa_15059	Taxa_15325	Taxa_15326	Taxa_15329	Taxa_15338	Taxa_15341	Taxa_15559	Taxa_15560	Taxa_15567	Taxa_15569
samp_1_S1	570	0	0	13071	0	0	0	0	0	0	0	0	0	0	1793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1254	3058	0	0	1495	0	0	0	0	0	0	0	0	1236	50	0	2050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1808	0	1361	0	0	0	0	0	0	973	0	0	1460	136	0	0	0	1254	0	0	358	774	0	0	0	0	0	0	0	0	0	0	0	0	994	0	0	0	0	0	308	40	0	0	0	574	0	0	0	0	0	0	0	0	0	0	0	553	104	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
samp_10_S10	1016	0	0	18775	13	0	0	143	0	0	0	0	14	0	16	0	0	0	1925	0	0	121	0	0	0	0	0	0	1373	0	0	0	0	0	0	0	0	1310	1768	0	134	240	0	0	0	0	0	0	0	0	131	1152	0	423	0	20	0	0	0	18	0	0	0	0	0	43	0	0	0	171	0	0	0	24	0	272	0	0	0	0	0	0	0	0	0	275	691	0	355	0	0	0	0	0	0	0	0	16	8	526	0	0	0	4430	179	0	68	0	52	0	0	0	0	308	0	0	392	951	0	0	0	443	0	0	0	0	96	186	221	0	0	32	0	0	0	0	0	0	76	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	48	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	6	0	0	0	63	22	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	5	0	33	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	14	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
samp_11_S11	18877	0	18	6242	21	0	99	189	1948	50	0	0	0	0	0	0	0	3	0	5673	0	0	62	0	0	0	0	0	61	0	0	813	0	0	0	0	0	78	70	0	0	92	0	0	0	0	0	0	0	0	5	84	68	0	0	8	661	0	0	0	1190	17	0	0	0	0	0	0	0	74	0	30	0	0	0	0	3068	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	2	0	0	20	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	8	0	0	0	0	10	0	0	0	0	80	0	0	0	0	176	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	1107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
samp_12_S12	1603	0	0	14356	18	0	39	20	24	0	0	0	0	0	0	0	0	19	0	117	0	182	0	0	0	0	0	0	499	0	0	0	0	0	0	0	0	263	473	0	0	131	0	0	0	0	0	0	0	0	0	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	481	0	0	0	5	0	138	0	0	0	0	0	0	0	0	0	71	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	22	0	92	0	0	0	0	0	0	101	0	0	0	0	0	0	0	206	0	0	0	0	0	47	21	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0
samp_13_S13	239	0	0	8525	21	0	20	1076	0	0	33469	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	419	0	0	0	0	0	0	0	0	499	178	0	0	455	0	0	0	0	0	0	0	0	0	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	157	140	0	0	285	0	0	0	0	0	0	0	0	0	56	0	0	0	0	42	0	35	0	0	0	0	0	0	125	0	0	0	0	0	0	0	145	0	0	0	0	0	87	10	0	0	16	0	0	0	0	0	0	121	0	0	0	11	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
samp_14_S14	23465	936	0	3273	31	0	6100	12	186	359	0	0	0	0	0	0	0	1026	0	310	0	324	0	0	0	0	0	0	104	0	35	39	0	0	0	0	0	53	54	0	0	94	0	0	0	0	0	0	0	0	0	110	0	0	0	103	1006	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3697	0	445	0	0	0	8	0	0	0	0	0	216	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	77	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	295	0	0	0	0	116	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	37	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
samp_15_S15	151	0	0	16339	84	0	1157	4852	0	635	0	0	0	0	0	0	0	0	0	0	0	1732	0	0	0	0	0	0	1816	0	0	0	0	0	0	0	0	1426	1169	0	0	644	0	0	0	0	0	0	0	0	0	797	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	218	0	0	0	13	0	130	0	0	0	0	0	0	0	0	0	355	264	0	0	0	0	0	0	0	0	0	0	0	14	118	0	0	30	1546	40	0	55	0	0	0	0	3	0	213	0	0	0	0	0	0	27	219	0	0	0	0	0	65	10	0	452	0	0	0	0	0	0	0	73	0	32	0	69	7	0	166	0	0	0	0	19	0	464	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	41	257	0	0	0	0	0	0	0	8	0	78	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	12	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	22	24	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
samp_16_S16	32969	361	3304	1258	12	0	5534	9	57	441	0	0	0	0	0	0	0	0	0	203	0	561	0	0	0	0	0	0	23	0	0	725	0	0	0	0	0	12	20	0	0	14	0	0	0	0	0	0	0	0	389	0	0	0	1208	138	0	0	0	0	651	0	0	63	0	14	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	67	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	16	0	0	0	0	19	0	4	0	0	0	0	0	0	5	0	13	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
samp_17_S17	14449	1367	207	1291	0	0	16572	33	51	615	0	0	0	0	0	0	0	0	0	143	0	241	23	0	0	0	0	0	0	0	0	553	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	732	0	0	735	0	0	0	230	173	0	0	0	0	0	3	0	47	385	0	0	0	0	0	0	0	0	0	0	0	385	49	0	0	0	0	0	0	0	0	0	0	0	10	2235	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	862	0	0	0	0	0	0	194	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	0	0	42	0	0	0	17	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
samp_18_S18	18402	171	104	1098	0	0	723	12	184	953	0	0	0	0	0	0	0	0	0	1354	0	747	0	0	0	0	0	0	6	0	0	93	0	0	0	0	0	12	9	0	0	0	0	0	0	0	0	0	0	0	199	42	0	0	0	105	0	0	26	0	177	0	0	431	0	526	0	0	0	0	0	0	0	0	0	23	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	19	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	67	0	0	0	27	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
