	samples_names_common	Sample_names	Projet
samp_F1Fe1_S196	samp_F1Fe1_S196	F1Fe1_S196	Cistaceae
samp_F1Fe1-PL2_S125	samp_F1Fe1-PL2_S125	F1Fe1-PL2_S125	Cistaceae
samp_F1Fe2_S197	samp_F1Fe2_S197	F1Fe2_S197	Cistaceae
samp_F1Fe2-PL2_S133	samp_F1Fe2-PL2_S133	F1Fe2-PL2_S133	Cistaceae
samp_F1Fe2b-PL2_S157	samp_F1Fe2b-PL2_S157	F1Fe2b-PL2_S157	Cistaceae
samp_F1Fe3_S198	samp_F1Fe3_S198	F1Fe3_S198	Cistaceae
samp_F1Fe3-PL2_S141	samp_F1Fe3-PL2_S141	F1Fe3-PL2_S141	Cistaceae
samp_F1Ft1_S199	samp_F1Ft1_S199	F1Ft1_S199	Cistaceae
samp_F1Ft1b-PL2_S149	samp_F1Ft1b-PL2_S149	F1Ft1b-PL2_S149	Cistaceae
samp_F1Ft2_S200	samp_F1Ft2_S200	F1Ft2_S200	Cistaceae
samp_F1Ft3_S201	samp_F1Ft3_S201	F1Ft3_S201	Cistaceae
samp_F1Ft3-PL2_S165	samp_F1Ft3-PL2_S165	F1Ft3-PL2_S165	Cistaceae
samp_F2Fe1_S202	samp_F2Fe1_S202	F2Fe1_S202	Cistaceae
samp_F2Fe1-PL2_S78	samp_F2Fe1-PL2_S78	F2Fe1-PL2_S78	Cistaceae
samp_F2Fe2_S203	samp_F2Fe2_S203	F2Fe2_S203	Cistaceae
samp_F2Fe2-PL2_S86	samp_F2Fe2-PL2_S86	F2Fe2-PL2_S86	Cistaceae
samp_F2Fe3_S204	samp_F2Fe3_S204	F2Fe3_S204	Cistaceae
samp_F2Fe3-PL2_S94	samp_F2Fe3-PL2_S94	F2Fe3-PL2_S94	Cistaceae
samp_F2Ft1_S205	samp_F2Ft1_S205	F2Ft1_S205	Cistaceae
samp_F2Ft1b-PL2_S102	samp_F2Ft1b-PL2_S102	F2Ft1b-PL2_S102	Cistaceae
samp_F2Ft2_S206	samp_F2Ft2_S206	F2Ft2_S206	Cistaceae
samp_F2Ft2b-PL2_S110	samp_F2Ft2b-PL2_S110	F2Ft2b-PL2_S110	Cistaceae
samp_F2Ft3_S207	samp_F2Ft3_S207	F2Ft3_S207	Cistaceae
samp_F2Ft3b-PL2_S118	samp_F2Ft3b-PL2_S118	F2Ft3b-PL2_S118	Cistaceae
samp_F3Fe1_S208	samp_F3Fe1_S208	F3Fe1_S208	Cistaceae
samp_F3Fe1-PL2_S126	samp_F3Fe1-PL2_S126	F3Fe1-PL2_S126	Cistaceae
samp_F3Fe2_S209	samp_F3Fe2_S209	F3Fe2_S209	Cistaceae
samp_F3Fe2-PL2_S134	samp_F3Fe2-PL2_S134	F3Fe2-PL2_S134	Cistaceae
samp_F3Fe2b-PL2_S158	samp_F3Fe2b-PL2_S158	F3Fe2b-PL2_S158	Cistaceae
samp_F3Fe3_S210	samp_F3Fe3_S210	F3Fe3_S210	Cistaceae
samp_F3Fe3-PL2_S142	samp_F3Fe3-PL2_S142	F3Fe3-PL2_S142	Cistaceae
samp_F3Ft1_S211	samp_F3Ft1_S211	F3Ft1_S211	Cistaceae
samp_F3Ft1b-PL2_S150	samp_F3Ft1b-PL2_S150	F3Ft1b-PL2_S150	Cistaceae
samp_F3Ft2_S212	samp_F3Ft2_S212	F3Ft2_S212	Cistaceae
samp_F3Ft3_S213	samp_F3Ft3_S213	F3Ft3_S213	Cistaceae
samp_F3Ft3-PL2_S166	samp_F3Ft3-PL2_S166	F3Ft3-PL2_S166	Cistaceae
samp_P1Fe1_S214	samp_P1Fe1_S214	P1Fe1_S214	Cistaceae
samp_P1Fe1-PL2_S79	samp_P1Fe1-PL2_S79	P1Fe1-PL2_S79	Cistaceae
samp_P1Fe2_S215	samp_P1Fe2_S215	P1Fe2_S215	Cistaceae
samp_P1Fe2-PL2_S87	samp_P1Fe2-PL2_S87	P1Fe2-PL2_S87	Cistaceae
samp_P1Fe3_S216	samp_P1Fe3_S216	P1Fe3_S216	Cistaceae
samp_P1Fe3-PL2_S95	samp_P1Fe3-PL2_S95	P1Fe3-PL2_S95	Cistaceae
samp_P1Ft1_S217	samp_P1Ft1_S217	P1Ft1_S217	Cistaceae
samp_P1Ft1b-PL2_S103	samp_P1Ft1b-PL2_S103	P1Ft1b-PL2_S103	Cistaceae
samp_P1Ft2_S218	samp_P1Ft2_S218	P1Ft2_S218	Cistaceae
samp_P1Ft2b-PL2_S111	samp_P1Ft2b-PL2_S111	P1Ft2b-PL2_S111	Cistaceae
samp_P1Ft3b-PL2_S119	samp_P1Ft3b-PL2_S119	P1Ft3b-PL2_S119	Cistaceae
samp_P2Fe1_S220	samp_P2Fe1_S220	P2Fe1_S220	Cistaceae
samp_P2Fe1-PL2_S127	samp_P2Fe1-PL2_S127	P2Fe1-PL2_S127	Cistaceae
samp_P2Fe2_S221	samp_P2Fe2_S221	P2Fe2_S221	Cistaceae
samp_P2Fe2-PL2_S135	samp_P2Fe2-PL2_S135	P2Fe2-PL2_S135	Cistaceae
samp_P2Fe2b-PL2_S159	samp_P2Fe2b-PL2_S159	P2Fe2b-PL2_S159	Cistaceae
samp_P2Fe3_S222	samp_P2Fe3_S222	P2Fe3_S222	Cistaceae
samp_P2Ft1_S223	samp_P2Ft1_S223	P2Ft1_S223	Cistaceae
samp_P2Ft1b-PL2_S151	samp_P2Ft1b-PL2_S151	P2Ft1b-PL2_S151	Cistaceae
samp_P2Ft2_S224	samp_P2Ft2_S224	P2Ft2_S224	Cistaceae
samp_P2Ft3_S225	samp_P2Ft3_S225	P2Ft3_S225	Cistaceae
samp_P2Ft3-PL2_S167	samp_P2Ft3-PL2_S167	P2Ft3-PL2_S167	Cistaceae
samp_P3Fe1_S226	samp_P3Fe1_S226	P3Fe1_S226	Cistaceae
samp_P3Fe1-PL2_S80	samp_P3Fe1-PL2_S80	P3Fe1-PL2_S80	Cistaceae
samp_P3Fe2_S227	samp_P3Fe2_S227	P3Fe2_S227	Cistaceae
