	samples_names_common	Sample_names	Projet
samp_C-1-3-1_S236	samp_C-1-3-1_S236	C-1-3-1_S236	DIVFUN
samp_C-1-3-2_S237	samp_C-1-3-2_S237	C-1-3-2_S237	DIVFUN
samp_C-1-3-3_S238	samp_C-1-3-3_S238	C-1-3-3_S238	DIVFUN
samp_C-1-3-4_S239	samp_C-1-3-4_S239	C-1-3-4_S239	DIVFUN
samp_C1-1_S234	samp_C1-1_S234	C1-1_S234	DIVFUN
samp_C1-2_S235	samp_C1-2_S235	C1-2_S235	DIVFUN
samp_C2-1_S241	samp_C2-1_S241	C2-1_S241	DIVFUN
samp_C2-2-1_S242	samp_C2-2-1_S242	C2-2-1_S242	DIVFUN
samp_C2-2-2_S243	samp_C2-2-2_S243	C2-2-2_S243	DIVFUN
samp_C2-2-3_S244	samp_C2-2-3_S244	C2-2-3_S244	DIVFUN
samp_C2-2-5_S246	samp_C2-2-5_S246	C2-2-5_S246	DIVFUN
samp_C3-1_S248	samp_C3-1_S248	C3-1_S248	DIVFUN
samp_C4-1_S255	samp_C4-1_S255	C4-1_S255	DIVFUN
samp_C4-2-1_S256	samp_C4-2-1_S256	C4-2-1_S256	DIVFUN
samp_C4-2-2_S257	samp_C4-2-2_S257	C4-2-2_S257	DIVFUN
samp_C4-2-3_S258	samp_C4-2-3_S258	C4-2-3_S258	DIVFUN
samp_C4-2-4_S259	samp_C4-2-4_S259	C4-2-4_S259	DIVFUN
samp_C4-3_S261	samp_C4-3_S261	C4-3_S261	DIVFUN
samp_C5-1_S262	samp_C5-1_S262	C5-1_S262	DIVFUN
samp_C5-2-1_S263	samp_C5-2-1_S263	C5-2-1_S263	DIVFUN
samp_C5-2-2_S264	samp_C5-2-2_S264	C5-2-2_S264	DIVFUN
samp_C5-2-3_S265	samp_C5-2-3_S265	C5-2-3_S265	DIVFUN
samp_C5-2-4_S266	samp_C5-2-4_S266	C5-2-4_S266	DIVFUN
samp_C5-2-5_S267	samp_C5-2-5_S267	C5-2-5_S267	DIVFUN
samp_C5-3_S268	samp_C5-3_S268	C5-3_S268	DIVFUN
samp_C6-1-1_S269	samp_C6-1-1_S269	C6-1-1_S269	DIVFUN
samp_C6-1-2_S270	samp_C6-1-2_S270	C6-1-2_S270	DIVFUN
samp_C6-1-3_S271	samp_C6-1-3_S271	C6-1-3_S271	DIVFUN
samp_C6-1-4_S272	samp_C6-1-4_S272	C6-1-4_S272	DIVFUN
samp_C6-1-5_S273	samp_C6-1-5_S273	C6-1-5_S273	DIVFUN
samp_C6-2_S274	samp_C6-2_S274	C6-2_S274	DIVFUN
samp_CT_S232	samp_CT_S232	CT_S232	DIVFUN
samp_CT1-PL2_S128	samp_CT1-PL2_S128	CT1-PL2_S128	DIVFUN
samp_DOM1_S368	samp_DOM1_S368	DOM1_S368	DIVFUN
samp_DOM2_S369	samp_DOM2_S369	DOM2_S369	DIVFUN
samp_LVT1-1_S341	samp_LVT1-1_S341	LVT1-1_S341	DIVFUN
samp_LVT1-2-1_S342	samp_LVT1-2-1_S342	LVT1-2-1_S342	DIVFUN
samp_LVT1-2-2_S343	samp_LVT1-2-2_S343	LVT1-2-2_S343	DIVFUN
samp_LVT1-2-3_S344	samp_LVT1-2-3_S344	LVT1-2-3_S344	DIVFUN
samp_LVT1-2-4_S345	samp_LVT1-2-4_S345	LVT1-2-4_S345	DIVFUN
samp_LVT1-2-5_S346	samp_LVT1-2-5_S346	LVT1-2-5_S346	DIVFUN
samp_LVT1-3-1_S347	samp_LVT1-3-1_S347	LVT1-3-1_S347	DIVFUN
samp_LVT1-3-2_S348	samp_LVT1-3-2_S348	LVT1-3-2_S348	DIVFUN
samp_LVT1-3-3_S349	samp_LVT1-3-3_S349	LVT1-3-3_S349	DIVFUN
samp_LVT1-3-4_S350	samp_LVT1-3-4_S350	LVT1-3-4_S350	DIVFUN
samp_LVT1-3-5_S351	samp_LVT1-3-5_S351	LVT1-3-5_S351	DIVFUN
samp_LVT2-1_S352	samp_LVT2-1_S352	LVT2-1_S352	DIVFUN
samp_LVT2-2_S353	samp_LVT2-2_S353	LVT2-2_S353	DIVFUN
samp_LVT2-3-1_S354	samp_LVT2-3-1_S354	LVT2-3-1_S354	DIVFUN
samp_LVT2-3-2_S355	samp_LVT2-3-2_S355	LVT2-3-2_S355	DIVFUN
samp_LVT2-3-3_S356	samp_LVT2-3-3_S356	LVT2-3-3_S356	DIVFUN
samp_LVT2-3-4_S357	samp_LVT2-3-4_S357	LVT2-3-4_S357	DIVFUN
samp_LVT2-3-5_S358	samp_LVT2-3-5_S358	LVT2-3-5_S358	DIVFUN
samp_LVT3-1_S359	samp_LVT3-1_S359	LVT3-1_S359	DIVFUN
samp_LVT3-2_S360	samp_LVT3-2_S360	LVT3-2_S360	DIVFUN
samp_LVT3-3_S361	samp_LVT3-3_S361	LVT3-3_S361	DIVFUN
samp_LVT4-1_S362	samp_LVT4-1_S362	LVT4-1_S362	DIVFUN
samp_LVT4-2_S363	samp_LVT4-2_S363	LVT4-2_S363	DIVFUN
samp_LVT4-3_S364	samp_LVT4-3_S364	LVT4-3_S364	DIVFUN
samp_LVT5-1_S365	samp_LVT5-1_S365	LVT5-1_S365	DIVFUN
samp_LVT5-2_S366	samp_LVT5-2_S366	LVT5-2_S366	DIVFUN
samp_LVT5-3_S367	samp_LVT5-3_S367	LVT5-3_S367	DIVFUN
samp_PC1-1_S276	samp_PC1-1_S276	PC1-1_S276	DIVFUN
samp_PC1-2-1_S277	samp_PC1-2-1_S277	PC1-2-1_S277	DIVFUN
samp_PC1-2-2_S278	samp_PC1-2-2_S278	PC1-2-2_S278	DIVFUN
samp_PC1-2-3_S279	samp_PC1-2-3_S279	PC1-2-3_S279	DIVFUN
samp_PC1-2-4_S280	samp_PC1-2-4_S280	PC1-2-4_S280	DIVFUN
samp_PC1-2-5_S281	samp_PC1-2-5_S281	PC1-2-5_S281	DIVFUN
samp_PC1-3_S282	samp_PC1-3_S282	PC1-3_S282	DIVFUN
samp_PC2-1-1_S283	samp_PC2-1-1_S283	PC2-1-1_S283	DIVFUN
samp_PC2-1-2_S284	samp_PC2-1-2_S284	PC2-1-2_S284	DIVFUN
samp_PC2-1-3_S285	samp_PC2-1-3_S285	PC2-1-3_S285	DIVFUN
samp_PC2-1-4_S286	samp_PC2-1-4_S286	PC2-1-4_S286	DIVFUN
samp_PC2-1-5_S287	samp_PC2-1-5_S287	PC2-1-5_S287	DIVFUN
samp_PC2-2_S288	samp_PC2-2_S288	PC2-2_S288	DIVFUN
