Numeric_code,Site,Humidity,Agricultural_practices,Plot,Sampling_point,Samples_names,
1,LAV,H,Lab,A,1,BAR251788,
2,LAV,H,Lab,A,2,BAR251789,
3,LAV,H,Lab,A,3,BAR251790,
4,LAV,H,Lab,B,1,BAR251791,
5,LAV,H,Lab,B,2,BAR251792, 
6,LAV,H,Lab,B,3,BAR251793,
7,LAV,H,Lab,C,1,BAR251794,
8,LAV,H,Lab,C,2,BAR251795,
9,LAV,H,Lab,C,3,BAR251796,
10,LAV,D,Lab,A,1,BAR251797,
11,LAV,D,Lab,A,2,BAR251798,
12,LAV,D,Lab,A,3,BAR251799,
13,LAV,D,Lab,B,1,BAR251800,
14,LAV,D,Lab,B,2,BAR251801,
15,LAV,D,Lab,B,3,BAR251802,
16,LAV,D,Lab,C,1,BAR251803,
17,LAV,D,Lab,C,2,BAR251804,
18,LAV,D,Lab,C,3,BAR251805,
19,LAV,H,Acs,A,1,BAR251806,
20,LAV,H,Acs,A,2,BAR251807,
21,LAV,H,Acs,A,3,BAR251808,
22,LAV,H,Acs,B,1,BAR251809,
23,LAV,H,Acs,B,2,BAR251810,
24,LAV,H,Acs,B,3,BAR251811,
25,LAV,H,Acs,C,1,BAR251812,
26,LAV,H,Acs,C,2,BAR251813,
27,LAV,H,Acs,C,3,BAR251814,
28,LAV,D,Acs,A,1,BAR251815,
29,LAV,D,Acs,A,2,BAR251816,
30,LAV,D,Acs,A,3,BAR251817,
31,LAV,D,Acs,B,1,BAR251818,
32,LAV,D,Acs,B,2,BAR251819,
33,LAV,D,Acs,B,3,BAR251820,
34,LAV,D,Acs,C,1,BAR251821,
35,LAV,D,Acs,C,2,BAR251822,
36,LAV,D,Acs,C,3,BAR251823,
37,PUE,H,,A,1,BAR251824,
38,PUE,H,,A,2,BAR251825,
39,PUE,H,,A,3,BAR251826,
40,PUE,H,,B,1,BAR251827,
41,PUE,H,,B,2,BAR251828,
42,PUE,H,,B,3,BAR251829,
43,PUE,H,,C,1,BAR251830,
44,PUE,H,,C,2,BAR251831,
45,PUE,H,,C,3,BAR251832,
46,PUE,D,,A,1,BAR251833,
47,PUE,D,,A,2,BAR251834,
48,PUE,D,,A,3,BAR251835,
49,PUE,D,,B,1,BAR251836,
50,PUE,D,,B,2,BAR251837,
51,PUE,D,,B,3,BAR251838,
52,PUE,D,,C,1,BAR251839,
53,PUE,D,,C,2,BAR251840,
54,PUE,D,,C,3,BAR251841,
55,CON,H,,A,1,BAR251842,
56,CON,H,,A,2,BAR251843,
57,CON,H,,A,3,BAR251844,
58,CON,H,,B,1,BAR251845,
59,CON,H,,B,2,BAR251846,
60,CON,H,,B,3,BAR251847,
61,CON,H,,C,1,BAR251848,
62,CON,H,,C,2,BAR251849,
63,CON,H,,C,3,BAR251850,
64,CON,D,,A,1,BAR251851,
65,CON,D,,A,2,BAR251852,
66,CON,D,,A,3,BAR251853,
67,CON,D,,B,1,BAR251854,
68,CON,D,,B,2,BAR251855,
69,CON,D,,B,3,BAR251856,
70,CON,D,,C,1,BAR251857,
71,CON,D,,C,2,BAR251858,
72,CON,D,,C,3,BAR251859,
73,AUR,H,,A,1,BAR251860,
74,AUR,H,,A,2,BAR251861,
75,AUR,H,,A,3,BAR251862,
76,AUR,H,,B,1,BAR251863,
77,AUR,H,,B,2,BAR251864,
78,AUR,H,,B,3,BAR251865,
79,AUR,H,,C,1,BAR251866,
80,AUR,H,,C,2,BAR251867,
81,AUR,H,,C,3,BAR251868,
82,AUR,D,,A,1,BAR251869,
83,AUR,D,,A,2,BAR251870,
84,AUR,D,,A,3,BAR251871,
85,AUR,D,,B,1,BAR251872,
86,AUR,D,,B,2,BAR251873,
87,AUR,D,,B,3,BAR251874,
88,AUR,D,,C,1,BAR251875,
89,AUR,D,,C,2,BAR251876,
90,AUR,D,,C,3,BAR251877,
91,BER,H,,A,1,BAR251878,
92,BER,H,,A,2,BAR251879,
93,BER,H,,A,3,BAR251880,
94,BER,H,,B,1,BAR251881,
95,BER,H,,B,2,BAR251882,
96,BER,H,,B,3,BAR251883,
97,BER,H,,C,1,BAR251884,
98,BER,H,,C,2,BAR251885,
99,BER,H,,C,3,BAR251886,
100,BER,D,,A,1,BAR251887,
101,BER,D,,A,2,BAR251888,
102,BER,D,,A,3,BAR251889,
103,BER,D,,B,1,BAR251890,
104,BER,D,,B,2,BAR251891,
105,BER,D,,B,3,BAR251892,
106,BER,D,,C,1,BAR251893,
107,BER,D,,C,2,BAR251894,
108,BER,D,,C,3,BAR251895,
Control1,NA,NA,NA,NA,NA,BAR251896,
Control2,NA,NA,NA,NA,NA,BAR251897,
Control3,NA,NA,NA,NA,NA,BAR251898,
Control4,NA,NA,NA,NA,NA,BAR251899,
