query_id	parent_id	similarity	query_total_abundance	parent_total_abundance	query_overlap_abundance	parent_overlap_abundance	query_incidence	parent_incidence	common_incidence	smallest_ratio	sum_ratio	avg_ratio	smallest_non_null_ratio	avg_non_null_ratio	largest_ratio	relative_incidence	status
Taxa_6613	Taxa_1971	93.80	2	28	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_6560	Taxa_4874	95.50	2	6	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_6515	Taxa_4376	91.10	2	7	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_6507	Taxa_3484	96.90	2	11	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_6502	Taxa_2563	93.90	2	18	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_6502	Taxa_5538	84.90	2	4	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_6501	Taxa_1284	89.00	2	53	2	20	1	3	1	10.00	10.00	10.00	10.00	10.00	10.00	1.00	accepted
Taxa_6468	Taxa_4887	91.70	2	6	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_6404	Taxa_2178	85.10	2	23	0	0	1	4	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_6404	Taxa_2513	84.30	2	19	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_6332	Taxa_1426	84.30	2	46	0	0	1	4	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_6303	Taxa_5844	90.00	2	3	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_6285	Taxa_2042	88.10	3	30	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_6285	Taxa_4511	86.70	3	7	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
